Begriff,Synonym,Erklärung
Armee,"Heer, Bundes-Heer, militärisch","Alle Soldatinnen und Soldaten von einem Land heißen zusammen: Armee.
Andere Wörter dafür sind: Heer und Militär."
Asyl,,"Ein Land nimmt Menschen auf, 
die aus ihrem Heimat-Land geflüchtet sind. 
Zum Beispiel, weil in ihrem Heimat-Land Krieg ist."
Asylrecht,Asyl-Recht,"Manchmal müssen Menschen vor Krieg oder Verfolgung oder anderen Gefahren aus ihrem Heimat-Land fliehen. Dann haben sie das Recht, in einem anderen Land um Schutz und eine Unterkunft zu bitten. Das Recht nennt man Asyl-Recht."
Asyl- und Migrationspakt,Asyl- und Migrationspaket,"Der Asyl- und Migrationspakt sind neue Regeln, wie die EU mit Flüchtlingen umgehen will.
Die Regeln sind zum Beispiel:
Alle EU-Länder sollen mithelfen. Sie sollen Flüchtlinge aufnehmen. Oder sie sollen Geld dafür geben, dass andere Länder Flüchtlinge aufnehmen.
Manche Flüchtlinge sollen gar nicht in die EU kommen, sondern in Lager an den Grenzen von EU-Ländern. Die Flüchtlinge sollen dort auf die Entscheidung von der EU warten, ob sie in die EU kommen dürfen oder in ein anderes Land gehen sollen.
Es soll gleiche Regeln für alle EU-Länder geben, welche Rechte Flüchtlinge haben. Und wie die Länder sich um Flüchtlinge kümmern müssen, die sie aufnehmen."
Asyl-Zentrum,Asylzentrum,"Ein Asyl-Zentrum ist ein Ort für Menschen, 
die aus einem anderen Land geflüchtet sind. 
Die Menschen wollen in der EU leben.
Die EU-Länder entscheiden, wer in die EU kommen darf.
Die Menschen warten in Asyl-Zentren auf die Entscheidung. 
In manchen Asyl-Zentren wohnen die Menschen in Zelten. 
Bisher sind Asyl-Zentren in EU-Ländern. Aber manche Politiker wollen Asyl-Zentren in anderen Ländern bauen, damit viele Flüchtlinge nicht in die EU kommen."
Bedingungsloses Grundeinkommen,Bedingungsloses Grund-Einkommen,"Bedingungsloses Grundeinkommen ist eine Idee, wie man in der Gesellschaft Geld anders verteilen kann. Die Idee ist: Alle Menschen im Land bekommen vom Staat genug Geld, um davon zu leben. Die Menschen müssen nichts für das Geld machen. Wenn jemand mehr Geld haben möchte, kann er mit Arbeit mehr Geld verdienen."
Beschäftigungsquote,Beschäftigungs-Quote,"Der Staat oder die EU entscheiden, wie viele Menschen mit Behinderungen eine Firma wenigstens einstellen muss."
Blue Card,,"Blue Card ist Englisch und heißt: Blaue Karte.
Die Blaue Karte ist eine Erlaubnis von der EU.
Menschen mit einer sehr guten Ausbildung können die Blaue Karte beantragen.
Mit der Blauen Karte dürfen sie aus einem anderen Land in die EU kommen. 
Sie dürfen dann in der EU arbeiten."
Bürger,"Bürgerin, Bürger*innen","Bürger*innen sind die Menschen, die zu einem Land gehören. Bürger*innen haben Rechte. Zum Beispiel: Sie dürfen wählen. Bürger*innen haben auch Pflichten. Zum Beispiel: Sie müssen Steuern zahlen."
demokratische Werte,"demokratische Grund-Werte, demokratische Grundwerte","Demokratische Werte sind Sachen und Ideen, die in einer Demokratie besonders wichtig sind. 
Zum Beispiel:
Menschen können frei entscheiden, was sie tun möchten.
Alle Menschen haben dieselben Menschen-Rechte."
Diskriminierung,,"Manchmal werden Menschen anders behandelt, weil sie zu einer bestimmten Gruppe gehören. Zum Beispiel: Frauen werden anders behandelt als Männer. Oder: Menschen mit Behinderungen werden anders behandelt als Menschen ohne Behinderungen. Das nennt man Diskriminierung."
Energiequelle,"Energie-Quelle, Energiequellen","Energie ist zum Beispiel Strom oder Wärme.
Energie-Quelle heißt: Daher kommt der Strom oder die Wärme.
Energie-Quellen sind zum Beispiel Kohle, Sonnen-Licht und Wasser-Kraft."
Erneuerbare Energien,,"Energie ist zum Beispiel Strom oder Wärme.
Erneuerbare Energie heißt: Davon gibt es immer wieder mehr.
Erneuerbare Energien sind zum Beispiel: Wind-Kraft, Wasser-Kraft und Sonnen-Licht."
EU,,"EU ist die Abkürzung für: Europäische Union. 
In der EU arbeiten 27 Länder aus Europa zusammen. 
Die Länder haben gemeinsame Regeln verabredet. Zum
Beispiel: Alle Menschen in der EU können in ein anderes EU-Land umziehen."
EU-Außengrenzen,,"Eine Grenze ist die Linie zwischen zwei Ländern.
EU-Außengrenzen sind Grenzen von EU-Ländern 
mit anderen Ländern, die nicht in der EU sind.
Zum Beispiel zwischen Österreich und der Schweiz."
Europäische Friedensfaszilität,,Die EU-Länder haben verabredet: Sie wollen 5 Milliarden Euro geben. Das Geld soll für Frieden und Sicherheit auf der Welt sein. Von dem Geld wollen die EU-Länder zum Beispiel Waffen für andere Länder kaufen. Die EU-Länder haben zum Beispiel der Ukraine Waffen und Schutz-Ausrüstung gegeben. Damit die Ukraine sich gegen den Angriff von Russland verteidigen kann.
Europäische Grund-Freiheiten ,Europäische Grundfreiheiten,"Eine Europäische Grund-Freiheit ist: Menschen können in ein anderes EU-Land umziehen und dort arbeiten. Sie brauchen dafür keine Erlaubnis.
Eine andere Europäische Grund-Freiheit ist: Firmen können ihre Sachen auch in jedem anderen EU-Land verkaufen. Sie brauchen keine Erlaubnis und müssen keinen Zoll bezahlen."
Fach-Kraft,Fachkraft,"Ein Mensch, der eine Ausbildung für einen Beruf hat."
Geschlechter-Diskriminierung,,Frauen werden anders behandelt als Männer.
Integration,integrieren,"Eingewanderte Menschen werden ein Teil von der Gesellschaft in dem Land, in das sie eingewandert sind."
Kollektivvertrag,"Kollektiv-Vertrag, Kollektivverträge","Ein Kollektiv-Vertrag ist ein Vertrag, den Vertreter*innen von Firmen und Vertreter*innen von Angestellten verabreden. In dem Vertrag steht zum Beispiel, wie viel Geld und wie viel Urlaub die Angestellten bekommen.
Kollektiv heißt: alle zusammen. Ein Kollektiv-Vertrag gilt für alle Angestellten in einem bestimmten Beruf."
Kontinent,,"Ein Kontinent ist ein Erd-Teil. Ein Kontinent besteht aus mehreren Ländern und ist vom Meer umgeben. Es gibt 5 Kontinente: Amerika, Europa, Asien, Afrika und Australien."
Lebensgrundlagen,Lebens-Grundlagen,"Lebens-Grundlagen sind die Sachen, die Menschen unbedingt zum Leben brauchen.
Natürliche Lebens-Grundlagen sind zum Beispiel: 
Sauberes Wasser, gesunde Luft und gute Erde für die Landwirtschaft."
Lohnkonkurrenz,"Lohn-Konkurrenz, Lohn-Wettbewerb","Lohn ist das Geld, das Menschen für ihre Arbeit bekommen.
Konkurrenz ist ein anderes Wort für Wettbewerb.
Lohn-Konkurrenz heißt: 
In einem ärmeren Land bekommen Menschen weniger Lohn als in einem reicheren Land.
Menschen gehen dann in das reichere Land zum Arbeiten. Weil sie zu Hause weniger Geld brauchen, können sie für weniger Lohn arbeiten. Die Menschen im reicheren Land bekommen dann von den Firmen vielleicht auch weniger Lohn."
Menschenrechte,Menschen-Rechte,"Menschen-Rechte sind Rechte, die alle Menschen auf der ganzen Welt haben sollen.
Zum Beispiel:
Jeder Mensch hat das Recht, zu leben.
Jeder Mensch hat das Recht, frei zu sein.
Jeder Mensch hat das Recht auf eine Arbeit.
Jeder Mensch hat das Recht auf Bildung."
Migrant,,"Ein Mensch, der aus seinem Heimat-Land weggegangen ist und jetzt in einem anderen Land lebt."
Migration,,Menschen ziehen von einem Land um in ein anderes Land.
Mindestlohn,Mindest-Lohn,So viel Lohn müssen alle Menschen mindestens für eine Stunde Arbeit bekommen.
NATO,,"Die NATO ist eine Gruppe von 32 Ländern in Europa und Nord-Amerika.
Die NATO-Länder wollen sich gegenseitig helfen, wenn sie von anderen Ländern angegriffen werden."
Neutralität,neutral,"Neutral sein heißt: Man gehört zu keiner Seite, zum Beispiel in einem Streit.
Wenn ein Land neutral ist, will es sich in keinen Streit oder Krieg zwischen anderen Ländern einmischen."
Organisierte Kriminalität,,Eine Gruppe von Verbrechern arbeitet zusammen. Die Gruppe begeht immer wieder Verbrechen und plant die Verbrechen genau. Meistens sind es sehr schlimme Verbrechen.
Projekt,,"Ein Projekt ist etwas, das man sich vorgenommen hat und das man schaffen möchte."
Rat der Europäischen Union,,"Im Rat der Europäischen Union arbeiten Vertreterinnen und Vertreter von allen EU-Ländern zusammen. Der Rat der Europäischen Union hilft mit, Gesetze für die EU zu machen."
Recycling,,Recycling heißt: Man macht aus Abfall etwas Neues.
Richtlinie für Lohntransparenz,,"Das ist eine neue EU-Regel: Firmen in EU-Ländern müssen bald sagen, wie viel Lohn ihre Mitarbeiter*innen bekommen. Wenn der Unterschied zwischen den Löhnen von Männern und Frauen mehr als 5 Prozent ist, muss die Firma etwas dagegen machen."
Treibhausgase,Treibhaus-Gase,Treibhaus-Gase sind der Grund für den Klima-Wandel. Ein wichtiges Treibhaus-Gas ist CO2.
Visum,,"Ein Visum ist die Erlaubnis, dass man in ein anderes Land reisen darf. Oder dass man in einem anderen Land länger bleiben darf."
Welt-Wirtschafts-Krise,Weltwirtschaftskrise,"Wirtschaft ist alles, was mit Geld zu tun hat. Zum Beispiel: Firmen stellen Dinge her und verkaufen sie. Menschen kaufen die Dinge.
Eine Krise ist etwas Schwieriges oder Schlimmes.
Welt-Wirtschafts-Krise heißt: Es geht der Wirtschaft auf der ganzen Welt schlecht."
West-Balkan,"Westbalkan, West-Balkan-Länder, Westbalkan-Länder, Westbalkan-Ländern","Zum West-Balkan gehören die Länder Albanien, Bosnien-Herzegowina, Kosovo, Montenegro, Nordmazedonien und Serbien. Die Länder sind in der Nähe von Österreich. Die Länder wollen EU-Mitglieder werden."
Wohlstand,,"Wohlstand heißt: Menschen haben genug Geld oder sogar viel Geld. Sie können sich alles kaufen, was sie brauchen. Manche Menschen sagen: Zum Wohlstand gehören auch noch andere Sachen. Zum Beispiel eine gute Gesellschaft und eine gesunde Umwelt."
Wohlstandsverwahrlosung,Wohlstands-Verwahrlosung,"Wohlstands-Verwahrlosung heißt eigentlich: Ein Kind hat sehr reiche Eltern, die ihm viele Sachen kaufen. Aber die Eltern kümmern sich nicht liebevoll um das Kind.
Manche Menschen meinen Wohlstands-Verwahrlosung auch so: Ein Land hat viel Geld und es geht den Menschen gut. Aber die Menschen kümmern sich nicht gut um andere Menschen und um die Gesellschaft. Sie kümmern sich nur um sich selbst."
